Komuna,Last_Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Case_Fatality
Deçan,2020-08-12,42.5623945553133,20.243400735090106,0,,,,
Gjakovë,2020-08-12,42.4055034707496,20.3612940575193,0,,,,
Gjilan,2020-08-12,42.453435,21.585032793763,0,,,,
Drenas,2020-08-12,42.6168003291109,20.8723189592705,0,,,,
Istog,2020-08-12,42.7856328246819,20.491635549751607,0,,,,
Dragash,2020-08-12,42.0044138017949,20.6779653106882,0,,,,
Klinë,2020-08-12,42.6153824056086,20.6082499726122,0,,,,
Kaçanik,2020-08-12,42.24341555847,21.2555538435172,0,,,,
Kamenicë,2020-08-12,42.629213279606,21.643507975079398,0,,,,
Fushë Kosovë,2020-08-12,42.61821118390711,21.039319563087197,0,,,,
Leposaviq,2020-08-12,43.12852326517321,20.8112414789355,0,,,,
Mitrovicë,2020-08-12,42.9434500137801,20.935126487940106,0,,,,
Obiliq,2020-08-12,42.726851645924505,21.078835930931803,0,,,,
Novobërdë,2020-08-12,42.5544089502188,21.4198755770514,0,,,,
Lipjan,2020-08-12,42.504701000000004,21.020850184958306,0,,,,
Pejë,2020-08-12,42.688862392420795,20.2256226472019,0,,,,
Rahovec,2020-08-12,42.410096362359795,20.6159138656811,0,,,,
Prizren,2020-08-12,42.2114315068722,20.6941423844297,0,,,,
Prishtinë,2020-08-12,42.6996260423513,21.270818608137397,0,,,,
Podujevë,2020-08-12,42.9482739887055,21.158630314885894,0,,,,
Shtërpcë,2020-08-12,42.235782539098395,21.0036824552811,0,,,,
Shtime,2020-08-12,42.4337577494932,21.0299930294413,0,,,,
Skënderaj,2020-08-12,42.732906462759296,20.7882571228731,0,,,,
Viti,2020-08-12,42.298611,21.3124372451749,0,,,,
Ferizaj,2020-08-12,42.3760653308032,21.143618596764604,0,,,,
Suharekë,2020-08-12,42.363765401585496,20.8498703867173,0,,,,
Zveçan,2020-08-12,42.976023809740106,20.7843513338577,0,,,,
Zubin Potok,2020-08-12,42.9218291630997,20.640501630445602,0,,,,
Vushtrri,2020-08-12,42.8161387374413,20.9814721778087,0,,,,
Mamushë,2020-08-12,42.3253727850614,20.7338044000107,0,,,,
Junik,2020-08-12,42.509638768744004,20.2014138079546,0,,,,
Malishevë,2020-08-12,42.5024646750472,20.714511835412,0,,,,
Ranillug,2020-08-12,42.5092012433326,21.615597602235397,0,,,,
Graçanicë,2020-08-12,42.5769928912085,21.1652318498971,0,,,,
Hani i Elezit,2020-08-12,42.15330780268,21.2586432550405,0,,,,
Kllokot,2020-08-12,42.346718206876,21.391632512886602,0,,,,
Partesh,2020-08-12,42.4039627704677,21.4780563301995,0,,,,
